Sum of Cote Egalité,Sum of CoteTeam,Sum of CoteOpponent,Opponent,Result,Team
30,5.5,118,Argentina,W,Japon
25,1.55,240,Argentina,W,Wales
25,325,1.35,England,L,Fidji
40,10,1.06,England,L,Samoa
50,15,1.03,Fidji,L,Portugal
25,1.35,325,Fidji,W,England
50,30,1.01,France,L,Italy
20,205,1.8,France,L,South Africa
30,1.05,13,Géorgie,W,Wales
20,190,1.9,Irland,L,New Zealand
30,625,1.18,Irland,L,Scotland
50,1.01,30,Italy,W,France
30,118,5.5,Japon,L,Argentina
50,40,1.01,New Zealand,L,Uruguay
20,1.9,190,New Zealand,W,Ireland
50,1.03,15,Portugal,W,Fidji
70,1.01,20,Roumanie,W,Tonga
40,1.06,10,Samoa,W,England
30,1.18,625,Scotland,W,Ireland
20,1.8,205,South Africa,W,France
70,20,1.01,Tonga,L,Roumanie
50,1.01,40,Uruguay,W,New Zealand
25,240,1.55,Wales,L,Argentina
30,13,1.05,Wales,L,Géorgie
