A(D),Club,VS,MD,
31(108),Manu Samoa,Argentina,22-Sep-2023,Match Details
31(77),Tonga,Scotland,24-Sep-2023,Match Details
31(55),South Africa,Tonga,01-Oct-2023,Match Details
31(26),Japan,Manu Samoa,28-Sep-2023,Match Details
31(197),Ireland,Romania,09-Sep-2023,Match Details
30(267),New Zealand,Italy,29-Sep-2023,Match Details
30(205),Wales,Australia,24-Sep-2023,Match Details
29(159),England,Japan,17-Sep-2023,Match Details
29(118),Fiji,Australia,17-Sep-2023,Match Details
29(319),Scotland,Tonga,24-Sep-2023,Match Details
28(264),Uruguay,Italy,20-Sep-2023,Match Details
28(244),Australia,Fiji,17-Sep-2023,Match Details
28(235),France,New Zealand,08-Sep-2023,Match Details
28(234),Argentina,England,09-Sep-2023,Match Details
27(152),Chile,Manu Samoa,16-Sep-2023,Match Details
27(50),Italy,Namibia,09-Sep-2023,Match Details
27(20),Namibia,New Zealand,15-Sep-2023,Match Details
27(273),Georgia,Portugal,23-Sep-2023,Match Details
26(287),Romania,Ireland,09-Sep-2023,Match Details
23(115),Portugal,Wales,16-Sep-2023,Match Details
