Points,Club,VS Club,Date,
96,France,Namibia,21-09-2023,Match details
96,New Zealand,Italy,29-09-2023,Match details
84,Scotland,Romania,30-09-2023,Match details
82,Ireland,Romania,09-09-2023,Match details
76,South Africa,Romania,17-09-2023,Match details
71,England,Chile,23-09-2023,Match details
59,Argentina,Chile,30-09-2023,Match details
52,Italy,Namibia,09-09-2023,Match details
43,Manu Samoa,Chile,16-09-2023,Match details
42,Japan,Chile,10-09-2023,Match details
40,Wales,Australia,24-09-2023,Match details
36,Uruguay,Namibia,27-09-2023,Match details
35,Australia,Georgia,09-09-2023,Match details
26,Namibia,Uruguay,27-09-2023,Match details
26,Fiji,Wales,10-09-2023,Match details
18,Portugal,Georgia,23-09-2023,Match details
18,Georgia,Portugal,23-09-2023,Match details
17,Tonga,Scotland,24-09-2023,Match details
12,Chile,Japan,10-09-2023,Match details
8,Romania,Ireland,09-09-2023,Match details
