Conversions,Club,VS Club,Date,
13,New Zealand,Italy,29-09-2023,Match details
12,France,Namibia,21-09-2023,Match details
12,Scotland,Romania,30-09-2023,Match details
11,Ireland,Romania,09-09-2023,Match details
8,England,Chile,23-09-2023,Match details
8,Argentina,Chile,30-09-2023,Match details
7,South Africa,Romania,17-09-2023,Match details
7,Italy,Namibia,09-09-2023,Match details
6,Japan,Chile,10-09-2023,Match details
4,Wales,Portugal,16-09-2023,Match details
4,Uruguay,Namibia,27-09-2023,Match details
3,Australia,Georgia,09-09-2023,Match details
3,Manu Samoa,Chile,16-09-2023,Match details
3,Fiji,Wales,10-09-2023,Match details
2,Portugal,Australia,01-10-2023,Match details
2,Tonga,Scotland,24-09-2023,Match details
2,Namibia,Uruguay,27-09-2023,Match details
1,Georgia,Portugal,23-09-2023,Match details
1,Chile,Japan,10-09-2023,Match details
